"Date operation";"Date valeur";"Libelle";"Debit";"Credit"
"11/09/2019";"11/09/2019";"CARTE 10/09 LE LOFT BY VILL RENNES";"130,20";""
"10/09/2019";"10/09/2019";"CARTE 09/09 ANGELLO RENNES";"61,40";""
"09/09/2019";"09/09/2019";"F COTISATION EUROCOMPTE";"9,57";""
"09/09/2019";"09/09/2019";"CARTE 07/09 CINQUECENTO RENNES";"52,40";""
"09/09/2019";"09/09/2019";"CARTE 06/09 LE LOFT BY VILL RENNES";"26,25";""
"06/09/2019";"06/09/2019";"CARTE 05/09 OKAWA CESSON SEVIGNE";"0,90";""
"04/09/2019";"05/09/2019";"ECH PRET 0154435646303";"24,45";""
"04/09/2019";"05/09/2019";"ECH PRET 0154435646301";"832,41";""
"04/09/2019";"04/09/2019";"CARTE 03/09 BOULANG LA ROTON RENNES";"10,00";""
"03/09/2019";"03/09/2019";"PRLV DIRECTION GENERALE DES FINA";"12,00";""
"03/09/2019";"03/09/2019";"CARTE 02/09 SARL LOUVEL RENNES";"5,00";""
"03/09/2019";"03/09/2019";"VIR KEOLIS RENNES";"";"5,00"
"31/08/2019";"31/08/2019";"RET DAB 31/08/19 RENNES";"30,00";""
"02/09/2019";"02/09/2019";"CARTE 01/09 PIZZA TEMPO RENNES";"16,90";""
"02/09/2019";"02/09/2019";"CARTE 31/08 CARREFOUR CITY RENNES";"16,52";""
"02/09/2019";"02/09/2019";"CARTE 31/08 LIBRAIRIE CRITIC RENNES";"34,90";""
"31/08/2019";"31/08/2019";"CARTE 30/08 AMZN Mktp FR amazon.fr";"20,99";""
"31/08/2019";"31/08/2019";"CARTE 30/08 LGA RESTAURATIO RENNES";"47,80";""
"30/08/2019";"30/08/2019";"CARTE 29/08 BAKKHOS RENNES";"9,90";""
"29/08/2019";"29/08/2019";"CARTE 28/08 SUPER U 35 RENNES";"23,01";""
"29/08/2019";"29/08/2019";"VIR EPITECH ECOLE INFORMATIQUE N";"";"2950,32"
"28/08/2019";"28/08/2019";"PRLV Engie";"26,79";""
"28/08/2019";"28/08/2019";"CARTE 27/08 LE PETIT HANOI RENNES";"77,80";""
"27/08/2019";"27/08/2019";"PRLV Orange";"86,06";""
"27/08/2019";"27/08/2019";"PRLV EDF clients particuliers";"26,13";""
"27/08/2019";"27/08/2019";"CARTE 26/08 AMZN Mktp FR amazon.fr";"813,37";""
"26/08/2019";"26/08/2019";"CARTE 25/08 CAMPING DOURLIN PLEUMEUR BODOU";"30,80";""
"26/08/2019";"26/08/2019";"CARTE 25/08 ECOMARCHE LANNION";"60,63";""
"23/08/2019";"23/08/2019";"CHQ 1285157";"229,24";""
"23/08/2019";"23/08/2019";"CARTE 21/08 CHEZ FANCH RENNES";"15,50";""
"22/08/2019";"22/08/2019";"CARTE 21/08 AMZN Mktp FR amazon.fr";"149,90";""
"22/08/2019";"22/08/2019";"CARTE 21/08 AMZN Mktp FR amazon.fr";"20,98";""
"22/08/2019";"22/08/2019";"CARTE 21/08 AMZN Mktp FR amazon.fr";"39,98";""
"22/08/2019";"22/08/2019";"CARTE 21/08 AMARY COIFFURE RENNES";"18,00";""
